country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","18-03-2026 16:00:00",28.5504249,77.2159377,CO,23,36,29
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.710508,77.249485,CO,18,102,87
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","18-03-2026 16:00:00",28.531346,77.190156,PM10,117,205,146
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","18-03-2026 16:00:00",28.531346,77.190156,NO2,20,59,40
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","18-03-2026 16:00:00",28.531346,77.190156,NH3,5,7,6
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","18-03-2026 16:00:00",28.531346,77.190156,CO,21,56,39
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","18-03-2026 16:00:00",28.621810,77.1944633,PM10,114,216,146
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","18-03-2026 16:00:00",28.621810,77.1944633,SO2,69,101,86
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","18-03-2026 16:00:00",28.4417,77.3217,PM2.5,117,141,123
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-03-2026 16:00:00",29.503664,75.467934,PM10,35,187,63
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-03-2026 16:00:00",29.503664,75.467934,NH3,13,14,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-03-2026 16:00:00",29.503664,75.467934,CO,25,32,28
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","18-03-2026 16:00:00",29.503664,75.467934,OZONE,51,74,66
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","18-03-2026 16:00:00",28.4227,77.0667,OZONE,10,46,42
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","18-03-2026 16:00:00",28.4275,77.1465,PM2.5,103,356,220
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","18-03-2026 16:00:00",28.4275,77.1465,NO2,37,76,53
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","18-03-2026 16:00:00",28.4275,77.1465,SO2,4,18,8
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","18-03-2026 16:00:00",28.4275,77.1465,OZONE,9,38,29
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","18-03-2026 16:00:00",28.4501238,77.0263051,PM2.5,226,418,285
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","18-03-2026 16:00:00",28.672342,77.315260,PM2.5,78,453,280
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","18-03-2026 16:00:00",28.699793,77.165453,PM2.5,87,325,218
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","18-03-2026 16:00:00",28.699793,77.165453,NO2,74,128,99
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","18-03-2026 16:00:00",28.699793,77.165453,OZONE,1,155,87
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","18-03-2026 16:00:00",23.107969,72.574648,SO2,5,31,13
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","18-03-2026 16:00:00",23.107969,72.574648,CO,10,100,39
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","18-03-2026 16:00:00",22.977134,72.553024,NH3,2,13,6
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","18-03-2026 16:00:00",23.002657,72.591912,PM2.5,68,183,119
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","18-03-2026 16:00:00",23.020509,72.579261,PM2.5,41,196,92
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","18-03-2026 16:00:00","21.217779 ","72.834787 ",NH3,3,4,3
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro","18-03-2026 16:00:00","21.217779 ","72.834787 ",CO,44,58,49
India,Gujarat,Surat,"Science Center, Surat - SMC","18-03-2026 16:00:00",21.170046,72.795405,CO,71,94,80
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro","18-03-2026 16:00:00",22.320153,73.216285,CO,50,83,59
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB","18-03-2026 16:00:00",20.362421,72.918013,OZONE,6,20,12
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","18-03-2026 16:00:00",30.379589,76.778328,PM2.5,77,151,105
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","18-03-2026 16:00:00",30.379589,76.778328,CO,21,49,29
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","18-03-2026 16:00:00",23.163798,72.677768,PM10,93,315,145
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","18-03-2026 16:00:00",23.163798,72.677768,NH3,5,12,7
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","18-03-2026 16:00:00",23.243639,72.68994,PM2.5,27,102,65
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","18-03-2026 16:00:00",23.221714,72.654328,NH3,2,4,3
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","18-03-2026 16:00:00",22.410802,73.097923,PM10,84,255,156
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association","18-03-2026 16:00:00",22.410802,73.097923,SO2,3,46,8
India,Gujarat,Rajkot,"Mavdi, Rajkot - Nexteng Enviro ","18-03-2026 16:00:00",22.248853,70.776774,NO2,6,27,12
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","18-03-2026 16:00:00",23.016834,72.625775,PM2.5,40,81,60
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","18-03-2026 16:00:00",23.016834,72.625775,SO2,15,123,68
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","18-03-2026 16:00:00",23.023389,72.515201,CO,42,106,86
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","18-03-2026 16:00:00",23.076793,72.627874,NH3,3,11,6
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","18-03-2026 16:00:00",21.613267,73.010555,PM2.5,54,87,67
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","18-03-2026 16:00:00",21.613267,73.010555,PM10,86,122,104
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","18-03-2026 16:00:00",21.613267,73.010555,SO2,21,22,22
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","18-03-2026 16:00:00",28.360699,76.936090,NO2,34,41,38
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-03-2026 16:00:00",28.1485564,77.3320667,NO2,23,24,24
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-03-2026 16:00:00",28.1485564,77.3320667,NH3,8,9,9
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-03-2026 16:00:00",28.1485564,77.3320667,SO2,8,24,15
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","18-03-2026 16:00:00",28.1485564,77.3320667,CO,16,112,53
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB","18-03-2026 16:00:00",17.336318,76.847397,OZONE,13,44,27
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","18-03-2026 16:00:00",15.347630,76.181767,PM10,NA,NA,NA
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB","18-03-2026 16:00:00",15.347630,76.181767,NH3,NA,NA,NA
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB","18-03-2026 16:00:00",12.415911,75.735050,OZONE,2,6,3
India,Karnataka,Mangalore,"Kadri, Mangalore - KSPCB","18-03-2026 16:00:00",12.889250,74.853000,PM10,80,109,93
India,Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB","18-03-2026 16:00:00",12.21041,76.37376,PM10,36,68,52
